"Zimbabweite","Na(Pb,Na,K)2(Ta,Nb,Ti)4As4O18","orthorhombic","Approved","GEN-5936","Ccmb","{""Na"":1,""Pb"":1,""K"":1,""Ta"":1,""Nb"":1,""Ti"":1,""As"":1,""O"":1}",true
"Ziminaite","Fe3+(VO4)","triclinic","Approved","GEN-5937","P-1","{""Fe"":1,""V"":1,""O"":1}",true
"Zinc","Zn","hexagonal","Approved,Grandfathered","R070497","P6_3/mmc","{""Zn"":1}",true
"Zincalstibite","Zn2Al(OH)6[Sb(OH)6]","hexagonal","Approved","GEN-5939","R-3","{""Zn"":1,""Al"":1,""O"":1,""H"":1,""Sb"":1}",true
"Zincaluminite","(Zn1-xAlx)(SO4)x/2(OH)2·nH2O (x < 0.5, n > 3x/2)","","Approved,Questionable mineral species","GEN-5940","","{""Zn"":1,""Al"":1,""S"":1,""O"":1,""H"":1}",true
"Zincgartrellite","PbZn2(AsO4)2(H2O,OH)2","triclinic","Approved","GEN-5941","P-1","{""Pb"":1,""Zn"":1,""As"":1,""O"":1,""H"":1}",true
"Zincite","ZnO","hexagonal","Approved,Grandfathered","R050419","P6_3mc","{""Zn"":1,""O"":1}",true
"Zinclipscombite","ZnFe3+2(PO4)2(OH)2","tetragonal","Approved","GEN-5943","","{""Zn"":1,""Fe"":1,""P"":1,""O"":1,""H"":1}",true
"Zincmelanterite","Zn(SO4)·7H2O","monoclinic","Approved,Renamed","GEN-5944","","{""Zn"":1,""S"":1,""O"":1,""H"":1}",true
"Zincoberaunite","ZnFe3+5(PO4)4(OH)5·6H2O","monoclinic","Approved","GEN-5945","C2/c","{""Zn"":1,""Fe"":1,""P"":1,""O"":1,""H"":1}",true
"Zincobotryogen","ZnFe3+(SO4)2(OH)·7H2O","monoclinic","Approved","GEN-5946","P2_1/n","{""Zn"":1,""Fe"":1,""S"":1,""O"":1,""H"":1}",true
"Zincobradaczekite","NaCuCuZn2(AsO4)3","monoclinic","Approved","GEN-5947","C2/c","{""Na"":1,""Cu"":1,""Zn"":1,""As"":1,""O"":1}",true
"Zincobriartite","Cu2(Zn,Fe)(Ge,Ga)S4","tetragonal","Approved,Pending publication","GEN-5948","I-42m","{""Cu"":1,""Zn"":1,""Fe"":1,""Ge"":1,""Ga"":1,""S"":1}",true
"Zincochenite","Pb4Zn(OH)6(SO4)2","triclinic","Approved,Pending publication","GEN-5949","P-1","{""Pb"":1,""Zn"":1,""O"":1,""H"":1,""S"":1}",true
"Zincochromite","ZnCr2O4","cubic","Approved","GEN-5950","Fd3m","{""Zn"":1,""Cr"":1,""O"":1}",true
"Zincocopiapite","ZnFe3+4(SO4)6(OH)2·20H2O","triclinic","Approved,Grandfathered","R060779","P-1","{""Zn"":1,""Fe"":1,""S"":1,""O"":1,""H"":1}",true
"Zincohögbomite-2<i>N</i>2<i>S</i>","(Zn,Al,Fe)3(Al,Fe,Ti)8O15(OH)","hexagonal","Approved,Renamed","GEN-5952","P6_3mc","{""Zn"":1,""Al"":1,""Fe"":1,""Ti"":1,""O"":1,""H"":1}",true
"Zincohögbomite-2<i>N</i>6<i>S</i>","(Zn,Al)7(Al,Fe3+,Ti,Mg)16O31(OH)","hexagonal","Approved,Renamed","GEN-5953","P6_3mc","{""Zn"":1,""Al"":1,""Fe"":1,""Ti"":1,""Mg"":1,""O"":1,""H"":1}",true
"Zincolibethenite","CuZn(PO4)(OH)","orthorhombic","Approved","R060763","Pnnm","{""Cu"":1,""Zn"":1,""P"":1,""O"":1,""H"":1}",true
"Zincolivenite","CuZn(AsO4)(OH)","orthorhombic","Approved","R050583","Pnnm","{""Cu"":1,""Zn"":1,""As"":1,""O"":1,""H"":1}",true
"Zincomenite","ZnSeO3","orthorhombic","Approved","GEN-5956","Pbca","{""Zn"":1,""Se"":1,""O"":1}",true
"Zinconigerite-2<i>N</i>1<i>S</i>","ZnSn2Al12O22(OH)2","hexagonal","Approved","GEN-5957","P-3m1","{""Zn"":1,""Sn"":1,""Al"":1,""O"":1,""H"":1}",true
"Zinconigerite-6<i>N</i>6<i>S</i>","Zn3Sn2Al16O30(OH)2","hexagonal","Approved","GEN-5958","R-3m","{""Zn"":1,""Sn"":1,""Al"":1,""O"":1,""H"":1}",true
"Zincorietveldite","Zn(UO2)(SO4)2(H2O)5","orthorhombic","Approved","GEN-5959","Pmn2_1","{""Zn"":1,""U"":1,""O"":1,""S"":1,""H"":1}",true
"Zincospiroffite","Zn2Te3O8","monoclinic","Approved","GEN-5960","C2/c","{""Zn"":1,""Te"":1,""O"":1}",true
